Unnamed: 0,text,code,task_id,test_list,Unnamed: 5
12, this function to count the most common words in a dictionary.,"function countCommon(words) {
    const wordCounts = {};
    words.forEach(word => {
      wordCounts[word] = (wordCounts[word] || 0) + 1;
    });
  
    const topFour = Object.entries(wordCounts)
      .sort((a, b) => b[1] - a[1])
      .slice(0, 4);
    
    return topFour;
  }",13,"  
  [
      console.assert(JSON.stringify(countCommon([""red"", ""green"", ""black"", ""pink"", ""black"", ""white"", ""black"", ""eyes"", ""white"", ""black"", ""orange"", ""pink"", ""pink"", ""red"", ""red"", ""white"", ""orange"", ""white"", ""black"", ""pink"", ""green"", ""green"", ""pink"", ""green"", ""pink"", ""white"", ""orange"", ""orange"", ""red""])) === JSON.stringify([[""pink"", 6], [""black"", 5], [""white"", 5], [""red"", 4]])),
      console.assert(JSON.stringify(countCommon([""one"", ""two"", ""three"", ""four"", ""five"", ""one"", ""two"", ""one"", ""three"", ""one""])) === JSON.stringify([[""one"", 4], [""two"", 2], [""three"", 2], [""four"", 1]])),
      console.assert(JSON.stringify(countCommon([""Facebook"", ""Apple"", ""Amazon"", ""Netflix"", ""Google"", ""Apple"", ""Netflix"", ""Amazon""])) === JSON.stringify([[""Apple"", 2], [""Amazon"", 2], [""Netflix"", 2], [""Facebook"", 1]]))
  ]
  ",
13, this   function to find the volume of a triangular prism.,"
function findVolume(l, b, h) {
    return (l * b * h) / 2;
}
",14,"
[console.assert(findVolume(10, 8, 6) === 240), console.assert(findVolume(3, 2, 2) === 6), console.assert(findVolume(1, 2, 1) === 1)];
",
14, this function to split a string at lowercase letters.,"function splitLowerString(text) {
    return text.match(/[a-z]|[^a-z]+/g) || [];
}",15,"[console.assert(JSON.stringify(splitLowerString(""AbCd"")) === JSON.stringify([""A"", ""b"", ""C"", ""d""])),
console.assert(JSON.stringify(splitLowerString(""Python"")) === JSON.stringify([""P"", ""y"", ""t"", ""h"", ""o"", ""n""])),
console.assert(JSON.stringify(splitLowerString(""Programming"")) === JSON.stringify([""P"", ""r"", ""o"", ""g"", ""r"", ""a"", ""m"", ""m"", ""i"", ""n"", ""g""]))]",
15, this function to find sequences of lowercase letters joined with an underscore.,"function textLowercaseUnderscore(text) {
    const patterns = /^[a-z]+_[a-z]+$/;
    if (patterns.test(text)) {
        return ""Found a match!"";
    } else {
        return ""Not matched!"";
    }
}",16,"[
    console.assert(textLowercaseUnderscore(""aab_cbbbc"") === ""Found a match!""),
    console.assert(textLowercaseUnderscore(""aab_Abbbc"") === ""Not matched!""),
    console.assert(textLowercaseUnderscore(""Aaab_abbbc"") === ""Not matched!"")
]",
16, this function to find the perimeter of a square.,"
function squarePerimeter(a) {
  const perimeter = 4 * a;
  return perimeter;
}
",17,"
[console.assert(squarePerimeter(10) === 40), console.assert(squarePerimeter(5) === 20), console.assert(squarePerimeter(4) === 16)]
",
17, this function to remove characters from the first string which are present in the second string.,"function removeDirtyChars(string, secondString) {
    let count = new Array(256).fill(0); 
    
    for (let char of secondString) {
        count[char.charCodeAt(0)] = 1;
    }

    let result = [];

    for (let char of string) {
        if (!count[char.charCodeAt(0)]) {
            result.push(char);
        }
    }

    return result.join(''); 
}",18,"[console.assert(removeDirtyChars(""probasscurve"", ""pros"") === ""bacuve""),
console.assert(removeDirtyChars(""digitalindia"", ""talent"") === ""digiidi""),
console.assert(removeDirtyChars(""exoticmiles"", ""toxic"") === ""emles"")]",
18, this function to find whether a given array of integers contains any duplicate element.,"
function testDuplicate(arrayNums) {
    const numsSet = new Set(arrayNums);
    return arrayNums.length !== numsSet.size;
}
",19,"[
    console.assert(testDuplicate([1, 2, 3, 4, 5]) === false),
    console.assert(testDuplicate([1, 2, 3, 4, 4]) === true),
    console.assert(testDuplicate([1, 1, 2, 2, 3, 3, 4, 4, 5]) === true)
]",
19, this function to check if the given number is woodball or not.,"
function isWoodall(x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x % 2 == 0) {
        x = x / 2;
        p = p + 1;
        if (p == x) {
            return true;
        }
    }
    return false;
}
",20,"[
    console.assert(isWoodall(383) === true),
    console.assert(isWoodall(254) === false),
    console.assert(isWoodall(200) === false)
]",
20, this function to find m number of multiples of n.,"function multiples_of_num(m, n) {
    let multiples_of_num = [];
    for (let i = n; i < (m + 1) * n; i += n) { 
        multiples_of_num.push(i);
    }
    return multiples_of_num;
}",21,"
[console.assert(multiples_of_num(4,3).toString() === [3,6,9,12].toString()), console.assert(multiples_of_num(2,5).toString() === [5,10].toString()), console.assert(multiples_of_num(9,2).toString() === [2,4,6,8,10,12,14,16,18].toString())]
",
21, this function to find the first duplicate element in a given array of integers.,"
function findFirstDuplicate(nums) {
    let numSet = new Set();
    let noDuplicate = -1;

    for (let i = 0; i < nums.length; i++) {
        if (numSet.has(nums[i])) {
            return nums[i];
        } else {
            numSet.add(nums[i]);
        }
    }

    return noDuplicate;
}
",22,"
[console.assert(findFirstDuplicate([1, 2, 3, 4, 4, 5]) === 4), console.assert(findFirstDuplicate([1, 2, 3, 4]) === -1), console.assert(findFirstDuplicate([1, 1, 2, 3, 3, 2, 2]) === 1)]
",
22, this   function to find the maximum sum of elements of list in a list of lists.,"
function maximum_Sum(list1) { 
    let maxi = -100000;
    for (let x of list1) { 
        let sum = 0; 
        for (let y of x) { 
            sum += y;      
        }
        maxi = Math.max(sum, maxi);     
    }
    return maxi; 
}
",23,"
[console.assert(maximum_Sum([[1,2,3],[4,5,6],[10,11,12],[7,8,9]]) === 33), console.assert(maximum_Sum([[0,1,1],[1,1,2],[3,2,1]]) === 6), console.assert(maximum_Sum([[0,1,3],[1,2,1],[9,8,2],[0,1,0],[6,4,8]]) === 19)];
",
23, this function to convert the given binary number to its decimal equivalent.,"
function binaryToDecimal(binary) {
    let decimal = 0, i = 0;
    while (binary !== 0) {
        let dec = binary % 10;
        decimal += dec * Math.pow(2, i);
        binary = Math.floor(binary / 10);
        i++;
    }
    return decimal;
}
",24,"
[console.assert(binaryToDecimal(100) === 4), console.assert(binaryToDecimal(1011) === 11), console.assert(binaryToDecimal(1101101) === 109)]
",
24, this   function to find the product of non-repeated elements in a given array.,"function find_Product(arr) { 
    let uniqueNumbers = new Set(arr); 
    let prod = 1; 
    
    for (let num of uniqueNumbers) { 
        prod *= num; 
    } 
    
    return prod; 
}",25,"
[console.assert(find_Product([1,1,2,3]) === 6), console.assert(find_Product([1,2,3,1,1]) === 6), console.assert(find_Product([1,1,4,5,6]) === 120)]
",
25, this function to check if the given tuple list has all k elements.,"function checkKElements(testList, K) {
    for (let tup of testList) {
        for (let ele of tup) {
            if (ele !== K) {
                return false; 
            }
        }
    }
    return true;
}",26,"[console.assert(checkKElements([[4, 4], [4, 4, 4], [4, 4], [4, 4, 4, 4], [4]], 4) === true, ""Test Case 1 Failed""),
console.assert(checkKElements([[7, 7, 7], [7, 7]], 7) === true, ""Test Case 2 Failed""),
console.assert(checkKElements([[9, 9], [9, 9, 9, 9]], 7) === false, ""Test Case 3 Failed"")]",
26, this   function to remove all digits from a list of strings.,"function remove(list) {
    var pattern = /[0-9]/g; 
    return list.map(i => i.replace(pattern, '')); 
}",27,"[console.assert(
    JSON.stringify(remove([""4words"", ""3letters"", ""4digits""])) === JSON.stringify([""words"", ""letters"", ""digits""]),
    ""Test Case 1 Failed""
),
console.assert(
    JSON.stringify(remove([""28Jan"", ""12Jan"", ""11Jan""])) === JSON.stringify([""Jan"", ""Jan"", ""Jan""]),
    ""Test Case 2 Failed""
),
console.assert(
    JSON.stringify(remove([""wonder1"", ""wonder2"", ""wonder3""])) === JSON.stringify([""wonder"", ""wonder"", ""wonder""]),
    ""Test Case 3 Failed""
)]",
27, this   function to find binomial co-efficient.,"
function binomial_Coeff(n, k) { 
    if (k > n) { 
        return 0; 
    } 
    if (k === 0 || k === n) { 
        return 1; 
    } 
    return binomial_Coeff(n - 1, k - 1) + binomial_Coeff(n - 1, k); 
}
",28,"
[console.assert(binomial_Coeff(5, 2) === 10), console.assert(binomial_Coeff(4, 3) === 4), console.assert(binomial_Coeff(3, 2) === 3)]
",
28, this   function to find the element occurring odd number of times.,"function getOddOccurrence(arr) {
    let result = 0;
    for (let num of arr) {
        result ^= num; 
    }
    return result;
}",29,"
[console.assert(getOddOccurrence([1,2,3,1,2,3,1]) === 1), console.assert(getOddOccurrence([1,2,3,2,3,1,3]) === 3), console.assert(getOddOccurrence([2,3,5,4,5,2,4,3,5,2,4,4,2]) === 5)]
",
29, this   function to count all the substrings starting and ending with same characters.,"function countSubstringWithEqualEnds(s) { 
    let result = 0; 
    let n = s.length; 
    for (let i = 0; i < n; i++) { 
        for (let j = 1; j <= n - i; j++) {  
            if (s.charCodeAt(i) === s.charCodeAt(i + j - 1)) { 
                result++; 
            } 
        } 
    } 
    return result; 
}",30,"
[console.assert(countSubstringWithEqualEnds(""abc"") === 3), console.assert(countSubstringWithEqualEnds(""abcda"") === 6), console.assert(countSubstringWithEqualEnds(""ab"") === 2)]
",
30, this function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"
function func(nums, k) {
    const d = {};
    for (const row of nums) {
        for (const i of row) {
            d[i] = (d[i] || 0) + 1;
        }
    }
    const temp = [];
    for (const [key, v] of Object.entries(d)) {
        if (temp.length < k) {
            temp.push([v, key]);
            if (temp.length === k) {
                temp.sort(([a], [b]) => a - b);
            }
        } else {
            if (v > temp[0][0]) {
                temp.shift();
                temp.push([v, key]);
                temp.sort(([a], [b]) => a - b);
            }
        }
    }
    const result = [];
    while (temp.length) {
        const [v, key] = temp.shift();
        result.push(key);
    }
    return result;
}",31,"[
    console.assert(func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]], 3).toString() === [5, 7, 1].toString()),
    console.assert(func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]], 1).toString() === [1].toString()),
    console.assert(func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]], 5).toString() === [ '4', '5', '7', '8', '1' ].toString())
]",
31, this   function to find the largest prime factor of a given number.,"
function maxPrimeFactors(n) { 
    let maxPrime = -1; 
    while (n % 2 === 0) { 
        maxPrime = 2; 
        n >>= 1;    
    } 
    for (let i = 3; i <= Math.sqrt(n); i += 2) { 
        while (n % i === 0) { 
            maxPrime = i; 
            n /= i; 
        } 
    } 
    if (n > 2) { 
        maxPrime = n;  
    } 
    return Math.floor(maxPrime); 
}
",32,"
[console.assert(maxPrimeFactors(15) === 5), console.assert(maxPrimeFactors(6) === 3), console.assert(maxPrimeFactors(2) === 2)];
",
32, this   function to convert a decimal number to binary number.,"
function decimalToBinary(N) {
    let B_Number = 0;
    let cnt = 0;
    while (N !== 0) {
        let rem = N % 2;
        let c = Math.pow(10, cnt);
        B_Number += rem * c;
        N = Math.floor(N / 2);
        cnt++;
    }
    return B_Number;
}
",33,"
[console.assert(decimalToBinary(10) === 1010), console.assert(decimalToBinary(1) === 1), console.assert(decimalToBinary(20) === 10100)]
",
33, this   function to find the missing number in a sorted array.,"function findMissing(ar, N) {
    let l = 0;
    let r = N - 1;
    
    while (l <= r) {
        let mid = Math.floor((l + r) / 2);
        if (ar[mid] !== mid + 1) {
            if (mid === 0 || ar[mid - 1] === mid) {
                return mid + 1;
            } else {
                r = mid - 1;
            }
        } else {
            l = mid + 1;
        }
    }
    return N;
}",34,"[console.assert(findMissing([1, 2, 3, 5], 5) === 4),
console.assert(findMissing([1, 3, 4, 5], 5) === 2),
console.assert(findMissing([1, 2, 3, 5, 6, 7], 7) === 4)]",
34, this function to find the n-th rectangular number.,"
function findRectNum(n) {
  return n * (n + 1);
}
",35,"
[console.assert(findRectNum(4) === 20), console.assert(findRectNum(5) === 30), console.assert(findRectNum(6) === 42)]",
35, this   function to find the nth digit in the proper fraction of two given numbers.,"
function find_Nth_Digit(p, q, N) {  
    while (N > 0) { 
        N -= 1;  
        p *= 10;  
        res = Math.floor(p / q);  
        p %= q;  
    } 
    return res;  
}
",36,"
[console.assert(find_Nth_Digit(1, 2, 1) === 5), console.assert(find_Nth_Digit(3, 5, 1) === 6), console.assert(find_Nth_Digit(5, 6, 5) === 3)]
",
36, this function to sort a given mixed list of integers and strings.,"function sortMixedList(mixedList) {
    const intPart = mixedList.filter(i => typeof i === 'number').sort((a, b) => a - b);
    const strPart = mixedList.filter(i => typeof i === 'string').sort();
    return intPart.concat(strPart);
}",37,"[
    console.assert(sortMixedList([19, ""red"", 12, ""green"", ""blue"", 10, ""white"", ""green"", 1]).toString() === [1, 10, 12, 19, ""blue"", ""green"", ""green"", ""red"", ""white""].toString()),
    console.assert(sortMixedList([19, ""red"", 12, ""green"", ""blue"", 10, ""white"", ""green"", 1]).toString() === [1, 10, 12, 19, ""blue"", ""green"", ""green"", ""red"", ""white""].toString()),
    console.assert(sortMixedList([19, ""red"", 12, ""green"", ""blue"", 10, ""white"", ""green"", 1]).toString() === [1, 10, 12, 19, ""blue"", ""green"", ""green"", ""red"", ""white""].toString())
]",
37, this function to find the division of first even and odd number of a given list.,"
function divEvenOdd(list1) {
    const firstEven = list1.find(el => el % 2 === 0) || -1;
    const firstOdd = list1.find(el => el % 2 !== 0) || -1;
    return firstEven / firstOdd;
}
",38,"
[console.assert(divEvenOdd([1,3,5,7,4,1,6,8]) === 4), console.assert(divEvenOdd([1,2,3,4,5,6,7,8,9,10]) === 2), console.assert(divEvenOdd([1,5,7,9,10]) === 10)]
",
38, this function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,"function rearrangeString(S) {
    const ctr = {};
    for (const char of S) {
        ctr[char] = (ctr[char] || 0) + 1;
    }
    
    const heap = Object.entries(ctr).map(([key, value]) => [-value, key]);

    for (let i = Math.floor(heap.length / 2) - 1; i >= 0; i--) {
        let idx = i;
        while (true) {
            const left = 2 * idx + 1;
            const right = 2 * idx + 2;
            let largest = idx;

            if (left < heap.length && heap[left][0] > heap[largest][0]) {
                largest = left;
            }
            if (right < heap.length && heap[right][0] > heap[largest][0]) {
                largest = right;
            }
            if (largest !== idx) {
                [heap[idx], heap[largest]] = [heap[largest], heap[idx]];
                idx = largest;
            } else {
                break;
            }
        }
    }

   if (-heap[0][0] * 2 > S.length + 1) {
        return """";
    }

    const ans = [];
    while (heap.length >= 2) {
        const [nct1, char1] = heap[0];
        heap[0] = heap[heap.length - 1];
        heap.pop();
        let idx = 0;
        while (true) {
            const left = 2 * idx + 1;
            const right = 2 * idx + 2;
            let largest = idx;

            if (left < heap.length && heap[left][0] > heap[largest][0]) {
                largest = left;
            }
            if (right < heap.length && heap[right][0] > heap[largest][0]) {
                largest = right;
            }
            if (largest !== idx) {
                [heap[idx], heap[largest]] = [heap[largest], heap[idx]];
                idx = largest;
            } else {
                break;
            }
        }

        const [nct2, char2] = heap[0];
        heap[0] = heap[heap.length - 1];
        heap.pop();
        idx = 0;
        while (true) {
            const left = 2 * idx + 1;
            const right = 2 * idx + 2;
            let largest = idx;

            if (left < heap.length && heap[left][0] > heap[largest][0]) {
                largest = left;
            }
            if (right < heap.length && heap[right][0] > heap[largest][0]) {
                largest = right;
            }
            if (largest !== idx) {
                [heap[idx], heap[largest]] = [heap[largest], heap[idx]];
                idx = largest;
            } else {
                break;
            }
        }

        ans.push(char1, char2);
        if (nct1 + 1) heap.push([nct1 + 1, char1]);
        if (nct2 + 1) heap.push([nct2 + 1, char2]);
        
        let idx1 = heap.length - 1;
        while (idx1 > 0) {
            const parent = Math.floor((idx1 - 1) / 2);
            if (heap[idx1][0] > heap[parent][0]) {
                [heap[idx1], heap[parent]] = [heap[parent], heap[idx1]];
                idx1 = parent;
            } else {
                break;
            }
        }
    }

    return ans.join("""") + (heap.length ? heap[0][1] : """");
}",39,"[console.assert([ ""aba"", ""baa"" ].includes(rearrangeString(""aab""))),
console.assert([ ""abab"", ""baba"" ].includes(rearrangeString(""aabb""))),
console.assert([ ""abcdcd"", ""abdcdb"" ].includes(rearrangeString(""abccdd"")))]",
39, this function to find frequency of the elements in a given list of lists using collections module.,"
function freqElement(nums) {
  const result = {};
  nums.flat().forEach(num => {
    result[num] = (result[num] || 0) + 1;
  });
  return result;
}
",40,"[
    console.assert(JSON.stringify(freqElement([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]])) === JSON.stringify({2: 3, 1: 2, 5: 2, 3: 1, 4: 1, 6: 1, 7: 1, 9: 1})),
    console.assert(JSON.stringify(freqElement([[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12]])) === JSON.stringify({1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1})),
    console.assert(JSON.stringify(freqElement([[15, 20, 30, 40], [80, 90, 100, 110], [30, 30, 80, 90]])) === JSON.stringify({30: 3, 80: 2, 90: 2, 15: 1, 20: 1, 40: 1, 100: 1, 110: 1}))
]",
40, this function to filter even numbers using lambda function.,"
function filterEvenNumbers(nums) {
    const evenNums = nums.filter(x => x % 2 === 0);
    return evenNums;
}
",41,"
[console.assert(filterEvenNumbers([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]).toString() === [2, 4, 6, 8, 10].toString()), console.assert(filterEvenNumbers([10,20,45,67,84,93]).toString() === [10,20,84].toString()), console.assert(filterEvenNumbers([5,7,9,8,6,4,3]).toString() === [8,6,4].toString())]
",
41, this   function to find the sum of repeated elements in a given array.,"
function findSum(arr, n) {
    return arr.filter(x => arr.filter(y => y === x).length > 1).reduce((a, b) => a + b, 0);
}
",42,"
[console.assert(findSum([1,2,3,1,1,4,5,6],8) === 3), console.assert(findSum([1,2,3,1,1],5) === 3), console.assert(findSum([1,1,2],3) === 2)]
",
42, this function to find sequences of lowercase letters joined with an underscore using regex.,"
function textMatch(text) {
  const patterns = /^[a-z]+_[a-z]+$/;
  if (patterns.test(text)) {
    return Found a match!;
  } else {
    return Not matched!;
  }
}
",43,"[
    console.assert(textMatch(""aab_cbbbc"") === ""Found a match!""),
    console.assert(textMatch(""aab_Abbbc"") === ""Not matched!""),
    console.assert(textMatch(""Aaab_abbbc"") === ""Not matched!"")
]",
43, this function that matches a word at the beginning of a string.,"function textMatchString(text) {
    const patterns = /^\s*\w+/;
    if (patterns.test(text)) {
        return ""Found a match!"";
    } else {
        return ""Not matched!"";
    }
}",44,"[
    console.assert(textMatchString(""  "") === ""Not matched!""),
    console.assert(textMatchString("" "") === ""Not matched!""), 
    console.assert(textMatchString(""  lang"") === ""Found a match!"")
]",
44, this function to find the gcd of the given array elements.,"function getGCD(l) {
    let gcd = l[0];
    for (let i = 1; i < l.length; i++) {
        while (l[i]) {
            let temp = l[i];
            l[i] = gcd % l[i];
            gcd = temp;
        }
    }
    return gcd;
}",45,"
[console.assert(getGCD([2, 4, 6, 8, 16]) === 2), console.assert(getGCD([1, 2, 3]) === 1), console.assert(getGCD([2, 4, 6, 8]) === 2)]
",
45, this   function to determine whether all the numbers are different from each other are not.,"
function testDistinct(data) {
  return data.length === new Set(data).size;
}
",46,"[
    console.assert(testDistinct([1,5,7,9]) === true),
    console.assert(testDistinct([2,4,5,5,7,9]) === false),
    console.assert(testDistinct([1,2,3]) === true)
]",
46, this   function to find the last digit when factorial of a divides factorial of b.,"
function compute_Last_Digit(A, B) {
    let variable = 1;
    if (A === B) {
        return 1;
    } else if ((B - A) >= 5) {
        return 0;
    } else {
        for (let i = A + 1; i <= B; i++) {
            variable = (variable * (i % 10)) % 10;
        }
        return variable % 10;
    }
}
",47,"
[console.assert(compute_Last_Digit(2, 4) === 2), console.assert(compute_Last_Digit(6, 8) === 6), console.assert(compute_Last_Digit(1, 2) === 2)]
",
47, this   function to set all odd bits of a given number.,"
function oddBitSetNumber(n) {
    let count = 0, res = 0, temp = n;
    while (temp > 0) {
        if (count % 2 === 0) {
            res |= (1 << count);
        }
        count++;
        temp >>= 1;
    }
    return (n | res);
}
",48,"[
    console.assert(oddBitSetNumber(10) === 15),
    console.assert(oddBitSetNumber(20) === 21),
    console.assert(oddBitSetNumber(30) === 31)
]",
48, this function to extract every first or specified element from a given two-dimensional list.,"function specifiedElement(matrix, index) {
    return matrix.map(row => row[index]);
}",49,"[console.assert(JSON.stringify(specifiedElement([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]], 0)) === JSON.stringify([1, 4, 7])),
console.assert(JSON.stringify(specifiedElement([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]], 2)) === JSON.stringify([3, 6, 9])),
console.assert(JSON.stringify(specifiedElement([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]], 1)) === JSON.stringify([2, 5, 1]))]",
49, this function to find the list with minimum length using lambda function.,"function minLengthList(arrays) {
    let minLength = Infinity;
    let minList = [];

    for (let array of arrays) {
        if (array.length < minLength) {
            minLength = array.length;
            minList = array;
        }
    }

    return [minLength, minList];
}",50,"[console.assert(JSON.stringify(minLengthList([[0], [1, 3], [5, 7], [9, 11], [13, 15, 17]])) === JSON.stringify([1, [0]])),
console.assert(JSON.stringify(minLengthList([[1, 2, 3, 4, 5], [1, 2, 3, 4], [1, 2, 3], [1, 2], [1]])) === JSON.stringify([1, [1]])),
console.assert(JSON.stringify(minLengthList([[3, 4, 5], [6, 7, 8, 9], [10, 11, 12], [1, 2]])) === JSON.stringify([2, [1, 2]]))]",
51, this function to caluclate area of a parallelogram.,"
function parallelogramArea(b, h) {
  const area = b * h;
  return area;
}
",52,"
[console.assert(parallelogramArea(10, 20) === 200), console.assert(parallelogramArea(15, 20) === 300), console.assert(parallelogramArea(8, 9) === 72)]
",
